ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_PLMN_NAME_250	26326	Play	10	
STR_PLMN_NAME_251	26327	Aero 2 Sp. z o.o.	36	
STR_PLMN_NAME_252	26328	vodafone P	22	
STR_PLMN_NAME_253	26329	Optimus P	20	
STR_PLMN_NAME_254	26330	TMN P	12	
STR_PLMN_NAME_255	26331	RO Vodafone	24	
STR_PLMN_NAME_256	26332	RO COSMOTE	22	
STR_PLMN_NAME_257	26333	RO DigiMobil	26	
STR_PLMN_NAME_258	26334	RO ORANGE	20	
STR_PLMN_NAME_259	26335	MTS RUS	16	
STR_PLMN_NAME_260	26336	MegaFon RUS	24	
STR_PLMN_NAME_261	26337	SCN RUS	16	
STR_PLMN_NAME_262	26338	STC RUS	16	
STR_PLMN_NAME_263	26339	BMT RUS	16	
STR_PLMN_NAME_264	26340	DTC RUS	16	
STR_PLMN_NAME_265	26341	AKOS RUS	18	
STR_PLMN_NAME_266	26342	Kuban RUS	20	
STR_PLMN_NAME_267	26343	SMARTS RUS	22	
STR_PLMN_NAME_268	26344	NTC RUS	16	
STR_PLMN_NAME_269	26345	Utel RUS	18	
STR_PLMN_NAME_270	26346	INDIGO RUS	22	
STR_PLMN_NAME_271	26347	TELE2 RUS	20	
STR_PLMN_NAME_272	26348	Beeline RUS	24	
STR_PLMN_NAME_273	26349	MOTIV RUS	20	
STR_PLMN_NAME_274	26350	Telenor	16	
STR_PLMN_NAME_275	26351	ProMonte	18	
STR_PLMN_NAME_276	26352	mt:s	10	
STR_PLMN_NAME_277	26353	T-Mobile CG	24	
STR_PLMN_NAME_278	26354	VIP Mobile	22	
STR_PLMN_NAME_279	26355	Orange SK	20	
